URL,Title,Text
https://allafrica.com/stories/202503100096.html,"Africa Sees Gender Equality Progress, but Continent 'Still Only Halfway There'","As the world marks International Women's Day, RFI looks at the situation in Africa. Women on the continent are closer to equality today than they were four years ago, according to the latest report by the UN and the African Development Bank, but the continent is still only halfway to achieving gender parity.

Commenting on the report's findings, Nathalie Gahunga, manager of the Gender and Women Empowerment Division at the African Development Bank (AfDB) said they are ""a call to action for African governments to invest in Africa's women and girls for sustainable and inclusive socio-economic development that works for all, across the continent"".

She emphasised that this could be achieved through evidence-based, gender-responsive policies and programmes, adding: ""At the African Development Bank, we will continue collaborating with governments to address this important gap.""

'A more prosperous Africa for all'

The Africa Gender Index 2023 Analytical Report measures gender equality in 54 African countries, scoring them between 0 and 100 - representing full equality.

Entitled ""African Women in Times of Crisis"", this second edition of the Africa Gender Index (AGI) is the latest conducted by the AfDB and the United Nations Economic Commission for Africa (UNECA), and was released in November 2024.

It shows that between 2019 and 2023, Africa's overall gender index score improved from 48.6 to 50.3 percent. While this marks progress, it also highlights a sobering reality: women on the continent still experience half the economic, social and representation opportunities available to men.

Keiso Matashane-Marite, head of UNECA's Gender Equality and Women's Empowerment Section, said: ""None of the targets for United Nations Sustainable Development Goal 5 on gender equality are on track. For instance, equal representation in parliaments won't be reached until 2063. This is unacceptable.""

She believes Africa cannot achieve sustainable prosperity if half its potential - that represented by the women of the continent - remains underused.

DR Congo names Judith Suminwa Tuluka as first woman PM

Matashane-Marite is urging policymakers to act decisively, using the AGI findings to implement practical solutions and close gender gaps.

""The need for accelerated action is clear,"" she said. ""By addressing these gaps, we can build a more inclusive and prosperous Africa for all.""

The AfDB's Gahunga echoed this, saying: ""This effort requires strong support in investing gender data and statistics for more evidence-based decision-making, that leads to transformative public policy reforms.""

Key findings

The report found that women in Africa score just 50.3 percent in equality across economic, social and public representation areas - a slight improvement from the 48 percent score in 2019.

Women in Africa are closer to equality in social areas, with a score of 98.3 - a parameter that includes access to education and healthcare. Girls on the continent now outnumber boys in graduation rates across primary, lower secondary and upper secondary education.

The report also found a 1.5 percent increase in women's representation, which rose to 24.4 percent. However, women continue to be underrepresented in Africa's parliaments, ministerial positions and private leadership roles.

Economically, there has been a decline in gender equality. Women's economic parity dropped from 61 percent in 2019 to 58.2 in 2023. While both men and women experienced economic setbacks during the reported period, women were disproportionately adversely affected.

African feminism pumps the heart of Benin's debut at Venice Biennale

Women in war zones

Women are also often the first victims of the conflicts raging on the continent.

""When conflict and crisis strike, displacement, hunger, and poverty follow,"" according to the charity Oxfam. ""But, all too often, it is women's rights that become the early casualties of war.""

The charity reports that one in five refugee or displaced women suffers sexual violence, and that in countries affected by conflict girls are 2.5 times more likely not to be in school.

""As they flee conflict, travel, and settle in refugee camps they are highly vulnerable to all forms of violence. They face exploitation, sexual harassment, and rape; they risk being sold into early or unwanted marriages or resorting to survival sex just to get their basic needs for food, shelter, and transport met.""

Close Sign up for free AllAfrica Newsletters Get the latest in African news delivered straight to your inbox Top Headlines Africa Governance International Organisations By submitting above, you agree to our privacy policy. Success! Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. Error! Error! There was a problem processing your submission. Please try again later.

Burkina Faso's army massacred over 200 civilians in village raid: NGO

Recommendations

Building on its findings, the AGI recommends targeted actions to close the gender gap across three key areas.

In the social sphere, the report urges countries to invest in overcoming barriers that prevent women from thriving in education, such as the burden of unpaid domestic work, early marriage and inadequate sanitary facilities in schools.

On representation, the report recommends strict enforcement of gender quotas in order to increase the number of women in leadership roles, in both government and the private sector.

Recognising that women often attain higher education levels than men, the report also calls for African countries to tackle harmful gender norms and practices, and address occupational segregation, to boost women's economic participation."
https://africa.unwomen.org/en/what-we-do/womens-economic-empowerment/the-gender-pay-gap-report,The Gender Pay Gap Report,"Gender pay gap is a glaring symbol of the ongoing struggle for gender equality. It persists across industries, borders, and generations and no country in the world has been able to successfully close it. The UN Women (2023) report ‘Why Women Earn Less?’ finds that women earn 21% less than men in the East and Southern Africa region, with substantial variations across countries. In fact, the gap exists even after accounting for the average differences in women and men’s education, seniority and work experience, and type of job. This leads to lifetime income inequality between women and men, and further contributes to women’s poverty.

A myriad of reasons explains why women earn less than men. Women have historically been clustered into lower-paying fields, such as caregiving, education, and service industries, while men have dominated higher-paying sectors like technology and finance. Women also have less opportunities for access to leadership positions and opportunities for career advancement. Discrimination, both overt and subtle, plays a critical role in the gender pay gap in the region. Deeply ingrained cultural norms and gender stereotypes underpin the pay gap. These norms can shape educational choices, career aspirations, and workplace behaviour, often reinforcing gender-based wage disparities.

Closing the gap empowers women, stimulates economic growth, and drives social progress. Importantly, achieving pay equity is not just a matter of economic fairness but a reflection of our commitment to a just and equal society. The findings of this report aim to guide a wide variety of stakeholders in understanding and addressing the pay gap."
https://africa.unwomen.org/sites/default/files/2024-03/policy_brief-the_status_of_women_movement_in_africa.pdf,,
https://africa.unwomen.org/sites/default/files/Field%20Office%20Africa/Attachments/Publications/2019/Cost%20of%20the%20Gender%20Gap%20-%20web.pdf,,
https://africa.unwomen.org/sites/default/files/2024-03/policy_brief-the_status_of_gender_equality_in_east_and_southern_africa_edit_address.pdf,,
https://africa.unwomen.org/en/stories/explainer/2022/09/equality-will-be-achieved-when-women-and-men-are-granted-equal-pay-and-equal-respect,Equality will be achieved when women and men are granted equal pay and equal respect: An explainer,"On this momentous day 18th of September, International Equal Pay Day, UN Women urges policymakers, non-governmental organizations, and the rest of the UN system to continue working towards closing the gender pay gap. UN Women pledges to continue efforts to raise awareness and promote policy change to narrow and close the gender pay gap and ensure women and girls have equal rights as their male counterparts.

Closing the gender pay gap Closing the gender gap requires efforts on several levels in the public and private sphere, these include but are not limited to: Improving the social protection system, extended to workers in the formal and informal economy. Including ensuring that social policy work for women and minimal living wages

Policies to transform labour markets

Addressing occupational segregation

Guaranteeing domestic worker’s rights

Increasing the returns to women’s informal employment in rural areas

Ensuring social transfers

Accessible and affordable social services

Provision of quality public childcare and elderly care services, family-friendly workplace policies

Policy measures that address women and girls' disproportionate share of unpaid care responsibilities

Freedom of associations and the right to organize and bargain collectively Closing the gender gap requires efforts on several levels in the public and private sphere, these include but are not limited to:

Goal 5 of the Sustainable Development Goals (SGDs) stipulates ""To achieve gender equality and empower all women and girls"". The aim of this goal is to achieve gender equality in the labor market, including equal access to jobs and top decision-making roles; in education, by achieving gender parity in primary education; in access to health; and in all domains to reduce gender-based violence and discrimination to empower women and girls. Goal 8 of the SDGs specifies ""To promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all"". Target 8.5 intends to achieve full and productive employment and decent work for all women and men, including young people and persons with disabilities, and equal pay for work of equal value by 2030. While significant progress has been made in realizing goals 5 and 8, we still have a long way to go to fully achieving the goals.

Globally, women only make 77 cents for every dollar men earn, this disparity is one of the main reasons for lifetime income inequality. It is estimated that it will approximately take 70 years to close this gender pay gap.

The gender pay gap demonstrates the relentless inequality between women and men at all levels of our societies. One of the main underlying reasons for the gender pay gap is that jobs tend to be valued along gender lines. Social and cultural norms also play a significant role not only in the types of paid work for women and girls but also in terms of how that work is valued and remunerated. In 1951, the General Conference of the International Labour Organization (ILO) adopted the Equal Remuneration Convention, yet to this day, male-dominated and female-dominated industries are still not valued the same. In order to ensure equal pay for work of equal value, we must see a change along the gender lines.

The gender pay gap is at 30 percent in sub-Saharan Africa, compared to 24 percent globally including both the formal and informal sectors. In sub-Saharan Africa, women opt to work in the informal sector mainly to cater to their care responsibilities, and more than 89 percent of women work in the informal economy. Agriculture continues to remain the most important source of income at the grassroots level on the African continent, employing more than 50 percent of women. The majority of agricultural employment is informal.

Women and young women face challenges in balancing paid work and family responsibilities, as they bear the brunt of catering to most of the unpaid care and domestic work responsibilities in households. In sub-Saharan Africa, the gender pay gap is estimated at 31% for women with children compared to only 4% for women without children. Labor policies are thus a critical element in closing the gender pay gap.

Dr. Marjan Petreski, a professor of economics and statistics at the University American College Skopje in North Macedonia, is currently conducting an analysis of the gender pay gap in ten countries within the east and southern Africa region on behalf of UN Women. The analysis is underway but so far has proven that countries in east and southern Africa face varying levels of a raw gender pay gap, the pure difference in hourly wages of men and women, expressed as a percentage of men’s wages. In order to calculate the adjusted gender pay gap, further analysis will be done to take into consideration the personal and job characteristics of women and men in the labor market, to be able to approximate the concept of 'equal pay for jobs of equal value. This will then provide a different picture. In some countries, these characteristics may help in explaining the gender pay gap. For example, in Kenya, labor force participant characteristics explain nearly half of the gender pay gap. While in Namibia and Mauritius, the gender pay gap increases when adjusted, which is not unknown in the literature, revealing that working women in these countries have better personal and job characteristics than working men, hence they cannot explain the gap but rather amplify it.

Speaking about the ongoing study, Prof. Dr. Marjan Petreski said ""A multitude of policies may be relevant for dealing with the gender pay gap, starting from the basic provision for equal pay for work of equal value in the primary labor laws, up to policies related to the minimum wage, flexible working arrangements, a set of anti-discrimination laws and policies and so on.""

Women and girls face numerous challenges in the labor market, including being overrepresented in the informal economy, and too often women are trapped in low-paid and poor-quality work. The disproportionate share of unpaid care and domestic work further limits their opportunities to fully participate in the workforce. Moreover, they lack social protection and social services, which are crucial in narrowing the gender pay gap. Social protection and social services can enhance women’s income security, their ability to realize their potential, and expand their life options."
https://africa.unwomen.org/sites/default/files/2024-12/un_women_africa_strategy_2022_-2025_0.pdf,,
https://africa.unwomen.org/en/digital-library/publications/2019/06/perception-study-on-social-norms-in-malawi,Perceptions Study on Social Norms around Violence against Women and Girls In Malawi,"The Perceptions Study on Social Norms serves as a baseline study for the EVAW thematic component of the Women’s Empowerment Programme (WEP) 2018-2021. The WEP aims at ensuring that women and girls enjoy their full rights and positively contribute to, and benefit from social, economic, and political development in Malawi. The programme consists of three thematic components, one of which is Ending Violence Against Women and Girls (EVAWG). The EVAWG thematic area is further aligned with Sustainable Development Goal (SDG) 5: Achieve Gender Equality and Empower Women and Girls and UN Women’s Flagship Programme Initiative (FPI), particularly Strategic Impact Area 3 on Prevention and Elimination of VAWG with a focus on prevention and access to essential services for EVAW. The Data and findings from this study will be used to develop a better understanding of the social norms, attitudes, and behaviours that hinder women and girls’ rights and also perpetuate gender imbalances and VAWG in Malawi."
https://africa.unwomen.org/en/digital-library/publications/2024/02/country-gender-equality-profile-kenya,COUNTRY GENDER EQUALITY PROFILE - KENYA,"This publication comprehensively analyzes the country’s gender equality and women empowerment (GEWE) situation across Kenya’s diverse areas and contexts. The study examines the differences in the status and conditions of the diverse groups of boys, girls, and men and women across the country’s cultural, geographical and environmental contexts. It highlights deeply entrenched discriminatory social and gender norms, sexual and gender-based violence and harmful practices, and the slow progress in women’s political participation and leadership. Furthermore, it assesses the manifestations and impacts of gender inequality and the intersection with other grounds: age, ethnicity, education, belief, disability, Human Immunodeficiency Virus (HIV) status, migration status, and rural-urban differences."
https://allafrica.com/stories/202406240339.html,Africa: Meagre Gender Data Blocks Equality for African Women,"analysis

Without information on gender roles and relations, both gender inequality and sustainable development will remain a struggle.

Information on women's status and lived realities is inadequate, especially in Africa. This lack of gender data not only prevents measuring progress on gender equality but achieving sustainable development overall.

Most of Africa won't meet the United Nations' (UN) Sustainable Development Goals (SDGs) by 2030 or even in the next 10 or 20 years in some cases. The continent is hamstrung by the legacy of colonisation, internal conflict and external meddling, which has dampened its growth prospects and hindered equitable development.

African countries are also battling to meet gender equality goals. A UN Women report shows that women are still overburdened with unpaid care work, face verbal and physical abuse daily, and earn less money for the same work done. This is the case even after controlling for factors such as education, level of productivity and experience.

Without relevant data, ending gender inequality in Africa will be difficult. And the data required is not just that which categorises information by male and female, but information that captures individuals' lived experiences, better reflecting gender roles, relations and societal inequalities.

Women living in rural areas face unique challenges. They lack access to resources, bear a heavier care work burden and are more likely to be subjected to traditional cultural norms than their urban counterparts. African LGBTQI+ women experience extreme discrimination and prosecution in many African countries. Restrictions on same-sex relationships, lack of freedom of expression and association, and limited protections are common. Data reflecting the particular challenges women face is crucial for developing policies and laws to address these problems.

The lack of gender data is a global problem, spanning geographical regions and income groups, with similar challenges faced across the board. According to the UN Women report, in 2023, over 80 countries were missing information for at least one of the indicators used to track progress towards the gender equality SDG. At current rates, it will take 22 years for all the SDG gender data to be available globally.

Chart 1: Worldwide data gaps, by data typeSource: UN Women

There are diverse reasons for the slow progress. Policies and laws that encourage gender data gathering and integrate gender goals into wider national development plans are lacking.

Financing for gender data collection is also stagnating, with overall spending on generating statistics at a national level falling since COVID-19. A report by Partnership in Statistics for Development in the 21st Century found three characteristics of this financing gap: few donors fund gender data; data production is prioritised over other statistical activities; and gender data activities aren't mainstreamed and are often tied to narrow project aims.

Outside countries such as Rwanda, Burkina Faso and Ghana, African statistical offices face similar funding restraints. Also, funding stems from governments and international development partners - a mix that shapes the focus of data generation and hinders the creation of regular gender data. A lack of staff trained to gather this data effectively worsens the problem.

What are the effects of these gaps on Africa? First, governments cannot know whether or not their actions to combat gender inequality are working. Second, women's real needs remain unseen. In some cases, limited gender data is available and collected regularly, but paints only a partial picture of the issue. Third, the lack of gender data precludes governments from making informed decisions that could boost economic growth, climate-resilience and overall health outcomes.

Some steps have been taken in Africa. Significant progress has been made in education and healthcare gender data generation, with statistics on maternal mortality, educational enrolment and life expectancy routinely collected and disaggregated.

UN Women runs a dedicated strategy, Women Count, which promotes gender data production and use through missions in nine countries, six of which are in Africa. UN Women also developed a Minimum Set of Gender Indicators for Africa to help governments know what to monitor and how best to harmonise new gender data within existing frameworks.

The UN Economic Commission for Africa (ECA) and partners are drafting a continental informal cross-border trade data collection framework and methodology to consolidate data gathering. Cross-border trade is a highly gendered aspect of Africa's trade landscape. A pilot project launched in 2019 by ECA's African Trade Policy Centre and the African Export-Import Bank to better monitor informal cross-border trade between Abidjan and Lagos is an example of a successful initiative.

The first step towards sustained change is simply to implement existing plans. Various documents have been drafted to fill the gender data gap, but concrete action remains absent.

The African Programme on Gender Statistics should serve as a platform for continent-wide action. But an evaluation of its 2018-21 implementation phase showed that one of the partners - the African Union Commission - failed to engage adequately. Regional economic communities also didn't participate. The support of both bodies is vital for creating African gender data infrastructure.

Close Sign up for free AllAfrica Newsletters Get the latest in African news delivered straight to your inbox Top Headlines Women Africa Human Rights By submitting above, you agree to our privacy policy. Success! Almost finished... We need to confirm your email address. To complete the process, please follow the instructions in the email we just sent you. Error! Error! There was a problem processing your submission. Please try again later.

Other essential interventions relate to financing, better alignment of gender data with national priorities, and political commitment. Given that international donors often have narrow, time-sensitive focus areas regarding gender data, African governments must fund data systems that include gender data.

Changing gender norms and instilling gender-equal attitudes among citizens is the most effective and durable solution. Grassroots activism aimed at educating children and the youth on gender equality is crucial, but needs government finance and support.

By investing in comprehensive gender data collection and analysis, African nations can make informed decisions that promote gender equality and benefit society as a whole.

This article was first published in the ISS African Futures blog, Africa Tomorrow.

Du Toit McLachlan, Research Officer, African Futures and Innovation, ISS Pretoria"
